Time,NDVI,P,LST
2002-07-01,132.43358103434244,27.844691594441727,31.2793820699056
2002-07-11,134.81045277913412,38.78568776448568,30.25339317321777
2002-07-21,136.3218943277995,45.03482437133789,30.133466084798172
2002-08-01,135.7060521443685,42.95292917887369,28.420055389404297
2002-08-11,132.1677169799805,34.58325831095377,28.420055389404297
2002-08-21,127.4847157796224,55.765406290690095,30.839049657185868
2002-09-01,125.41831715901691,21.29788462320964,29.97019068400065
2002-09-11,125.27495320638019,29.944892247517906,31.77673721313477
2002-09-21,127.98810068766278,34.34755706787109,35.253449122111
2002-10-01,130.88615163167321,107.39661661783856,29.49020004272461
2002-10-11,135.63225046793622,51.32440821329752,33.085604349772126
2002-10-21,145.4490763346354,75.60587310791016,21.067250569661454
2002-11-01,160.2928924560547,25.22775014241536,29.52699279785156
2002-11-11,171.90078735351562,29.974574406941727,25.74289512634277
2002-11-21,173.87819417317712,16.355672200520832,26.75236829121907
2002-12-01,170.95343526204428,6.509205500284832,32.245742797851555
2002-12-11,167.29166666666666,51.55805460611978,25.787922541300453
2002-12-21,166.7748006184896,60.19300079345703,27.29662068684896
2003-01-01,168.59583536783853,23.242057164510086,31.966785430908203
2003-01-11,169.59119669596353,15.750888188680015,33.556865056355804
2003-01-21,167.57077026367188,14.152240435282387,34.865790049235024
2003-02-01,162.92527770996094,7.008553663889568,40.20968500773112
2003-02-11,157.0529022216797,12.44494342803955,39.81004079182943
2003-02-21,152.4363810221354,12.867120107014976,42.67011642456055
2003-03-01,150.18527221679688,10.070731480916342,38.659034729003906
2003-03-11,151.53911336263022,11.991629918416344,37.79891586303711
2003-03-21,152.7204335530599,77.54600016276042,32.886880238850914
2003-04-01,152.69592793782553,14.153041203816734,37.3713124593099
2003-04-11,150.99642944335938,83.1718241373698,32.66982205708822
2003-04-21,149.62869771321616,111.8771006266276,28.44348462422689
2003-05-01,149.9197235107422,75.73392995198567,26.75691159566243
2003-05-11,152.06914265950522,72.6865743001302,28.896832148234054
2003-05-21,152.19090270996094,57.88948567708334,27.83466021219889
2003-06-01,150.2421620686849,43.85860443115234,27.723441441853836
2003-06-11,147.02063751220703,98.29877471923828,28.606612523396805
2003-06-21,144.7433827718099,54.69762166341147,28.476729710896805
2003-07-01,146.73138427734375,56.106600443522126,26.483482996622726
2003-07-11,150.1130167643229,42.47906875610352,27.84670766194661
2003-07-21,155.41357930501303,50.46923192342122,29.39764404296875
2003-08-01,158.8720957438151,60.03503799438477,28.475461324055985
2003-08-11,158.86203002929688,78.69285583496094,29.569536209106445
2003-08-21,154.62707010904947,67.50942230224611,23.910809199015304
2003-09-01,153.39721171061197,62.09452184041341,29.54680506388347
2003-09-11,152.70758565266928,39.37504450480143,29.8784720102946
2003-09-21,152.87788899739584,28.094055811564132,29.02369054158528
2003-10-01,154.4984130859375,36.82221794128418,29.46134757995605
2003-10-11,157.56827290852866,34.319515228271484,29.970155715942386
2003-10-21,160.28496297200522,31.287879943847656,32.262369791666664
2003-11-01,164.4165496826172,52.70992151896159,24.056879679361984
2003-11-11,167.52916463216147,11.739667574564614,29.87289428710937
2003-11-21,168.10292053222656,31.155459721883133,32.483614603678376
2003-12-01,168.3373260498047,32.41333770751953,29.80356661478679
2003-12-11,167.7169443766276,5.2724935213724775,33.672673543294266
2003-12-21,164.76312764485678,5.4124124844868975,33.858987172444664
2004-01-01,161.0331013997396,3.75812554359436,33.242450078328446
2004-01-11,157.34225463867188,23.835735956827804,34.36016782124837
2004-01-21,153.40416971842447,21.0509770711263,40.92322031656901
2004-02-01,148.97748311360678,5.84514856338501,38.8561897277832
2004-02-11,142.43732198079428,18.452623049418133,40.00019454956055
