Time,NDVI,P,LST
2002-07-01,166.6349324544271,16.117204411824545,28.17347246805827
2002-07-11,166.0041758219401,56.56383666992188,29.299171702067056
2002-07-21,164.8773152669271,44.65209045410156,28.359548314412443
2002-08-01,164.64657897949218,35.60338910420736,29.758663431803388
2002-08-11,164.86009623209637,27.613419214884445,29.758663431803388
2002-08-21,165.21698099772138,41.39014752705892,31.00220031738281
2002-09-01,164.85526428222656,27.745563507080078,31.917494583129887
2002-09-11,163.7362019856771,58.20577875773111,31.94857457478841
2002-09-21,162.56395161946614,46.83759536743164,32.029488754272464
2002-10-01,163.71957702636718,42.9822135925293,29.265289433797196
2002-10-11,165.29998779296875,52.46297581990561,31.678418731689447
2002-10-21,166.25315755208334,61.32582931518554,26.98163248697917
2002-11-01,165.39827473958334,85.4114865620931,25.63377240498861
2002-11-11,165.14551493326823,116.54921468098956,26.69589602152507
2002-11-21,165.56009419759116,55.363814544677744,27.601688130696612
2002-12-01,168.94205423990886,16.003211212158202,30.40429662068685
2002-12-11,170.16564432779947,68.51662775675456,26.713138580322266
2002-12-21,171.1124257405599,68.00839157104492,27.64219093322754
2003-01-01,170.76270243326823,31.731695810953774,28.945632807413734
2003-01-11,169.24454345703126,7.915342140197754,33.353346252441405
2003-01-21,165.33086039225262,11.024014441172282,32.66701749165853
2003-02-01,160.25285746256512,15.209140904744466,38.52428080240885
2003-02-11,155.5161153157552,16.816287422180174,35.80749257405599
2003-02-21,152.2979777018229,21.66669044494629,43.39069239298502
2003-03-01,151.2133778889974,11.862211990356446,42.25153325398763
2003-03-11,151.54944864908853,18.018633778889974,40.607976023356116
2003-03-21,152.0873067220052,142.202680460612,32.010803349812825
2003-04-01,153.93910522460936,19.409208679199214,35.3932736714681
2003-04-11,158.22266642252603,76.76434733072917,29.065053304036454
2003-04-21,163.7201883951823,176.8813334147135,28.25576489766439
2003-05-01,170.2229787190755,88.79843648274738,29.104790115356444
2003-05-11,174.8906026204427,103.9702168782552,28.164413197835287
2003-05-21,176.79289754231775,71.96273244222006,27.22410608927409
2003-06-01,176.80662536621094,56.02220102945964,25.620383199055986
2003-06-11,175.80933837890626,72.202978515625,25.31769561767578
2003-06-21,174.42149251302087,37.921834055582686,25.249348704020186
2003-07-01,174.2536376953125,53.01463470458985,24.749379475911454
2003-07-11,174.48847452799475,43.691343561808274,25.76525382995605
2003-07-21,174.49282938639325,24.250324122111007,27.75149612426758
2003-08-01,173.01981608072913,59.905728658040374,27.860298029581703
2003-08-11,170.9277791341146,93.18407796223957,28.858491388956704
